                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.68563,                0.30717,                 1.0212,                0.95526,                0.96603,                0.97978,                0.77924,                0.96719,                0.35313,                 1.2072,               0.003268,               0.003268,               0.003268
                    138,                0.67678,                0.30028,                 1.0155,                 0.9678,                0.96381,                0.98055,                0.77885,                 0.9688,                0.35275,                 1.2148,              0.0032185,              0.0032185,              0.0032185
                    139,                 0.6804,                0.30314,                 1.0204,                0.96864,                0.95702,                0.97674,                0.77903,                0.96343,                0.34729,                 1.2084,               0.003169,               0.003169,               0.003169
                    140,                  0.668,                0.29535,                 1.0089,                0.97678,                 0.9581,                0.98002,                0.78148,                0.96805,                0.34612,                 1.2229,              0.0031195,              0.0031195,              0.0031195
                    141,                0.67463,                0.29897,                 1.0181,                0.96817,                0.97174,                 0.9804,                 0.7778,                0.96518,                0.34519,                 1.2381,                0.00307,                0.00307,                0.00307
                    142,                0.66802,                 0.2944,                 1.0133,                0.97013,                0.96275,                0.97956,                0.77452,                0.96534,                0.34969,                 1.2445,              0.0030205,              0.0030205,              0.0030205
                    143,                0.67365,                0.29482,                 1.0117,                0.96955,                0.96223,                0.97815,                0.77453,                0.96855,                0.35006,                 1.2476,               0.002971,               0.002971,               0.002971
                    144,                0.66031,                0.29304,                 1.0101,                0.96905,                0.96494,                0.97573,                0.77745,                0.95975,                0.35429,                 1.2373,              0.0029215,              0.0029215,              0.0029215
                    145,                 0.6614,                0.29471,                 1.0112,                0.96786,                0.96468,                0.97892,                0.77921,                0.95547,                0.35352,                 1.2322,               0.002872,               0.002872,               0.002872
                    146,                0.65849,                0.28873,                 1.0068,                0.96316,                0.96991,                0.98094,                0.78149,                0.95936,                0.35065,                 1.2308,              0.0028225,              0.0028225,              0.0028225
                    147,                0.65616,                0.28808,                 1.0081,                  0.966,                0.97568,                0.97992,                0.78211,                0.95709,                0.33981,                 1.2233,               0.002773,               0.002773,               0.002773
                    148,                0.65263,                0.28819,                 1.0084,                0.97038,                0.96522,                 0.9754,                0.77987,                 0.9597,                0.34372,                  1.234,              0.0027235,              0.0027235,              0.0027235
                    149,                0.64967,                0.28465,                 1.0053,                0.97483,                0.96023,                0.97707,                0.78553,                0.95345,                0.34782,                 1.2272,               0.002674,               0.002674,               0.002674
                    150,                0.65096,                 0.2845,                 1.0058,                0.98007,                0.95845,                0.97911,                 0.7816,                 0.9641,                0.35002,                 1.2351,              0.0026245,              0.0026245,              0.0026245
